customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Cuentas_Diarias
0002-orfbo,0.0,female,0,1,1,9,1,no,dsl,no,yes,no,yes,yes,no,one year,1,mailed check,65.6,593.3,2.19
0003-mknfe,0.0,male,0,0,0,9,1,yes,dsl,no,no,no,no,no,yes,month-to-month,0,mailed check,59.9,542.4,2.0
0004-tlhlj,1.0,male,0,0,0,4,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,1,electronic check,73.9,280.85,2.46
0011-igkff,1.0,male,1,1,0,13,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic check,98.0,1237.85,3.27
0013-exchz,1.0,female,1,1,0,3,1,no,fiber optic,no,no,no,yes,yes,no,month-to-month,1,mailed check,83.9,267.4,2.8
0013-mhzwf,0.0,female,0,0,1,9,1,no,dsl,no,no,no,yes,yes,yes,month-to-month,1,credit card (automatic),69.4,571.45,2.31
0013-smeoe,0.0,female,1,1,0,71,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),109.7,7904.25,3.66
0014-bmaqu,0.0,male,0,1,0,63,1,yes,fiber optic,yes,no,no,yes,no,no,two year,1,credit card (automatic),84.65,5377.8,2.82
0015-uocoj,0.0,female,1,0,0,7,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,electronic check,48.2,340.35,1.61
0016-qljis,0.0,female,0,1,1,65,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,1,mailed check,90.45,5957.9,3.02
0017-dinoc,0.0,male,0,0,0,54,0,no,dsl,yes,no,no,yes,yes,no,two year,0,credit card (automatic),45.2,2460.55,1.51
0017-iudmw,0.0,female,0,1,1,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),116.8,8456.75,3.89
0018-nyrou,0.0,female,0,1,0,5,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,68.95,351.5,2.3
0019-efaep,0.0,female,0,0,0,72,1,yes,fiber optic,yes,yes,yes,no,yes,no,two year,1,bank transfer (automatic),101.3,7261.25,3.38
0019-gfntw,0.0,female,0,0,0,56,0,no,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),45.05,2560.1,1.5
0020-inwck,0.0,female,0,1,1,71,1,yes,fiber optic,no,yes,yes,no,no,yes,two year,1,credit card (automatic),95.75,6849.4,3.19
0020-jdnxp,0.0,female,0,1,1,34,0,no,dsl,yes,no,yes,yes,yes,yes,one year,0,mailed check,61.25,1993.2,2.04
0021-ikxgc,0.0,female,1,0,0,1,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,72.1,72.1,2.4
0022-tcjci,1.0,male,1,0,0,45,1,no,dsl,yes,no,yes,no,no,yes,one year,0,credit card (automatic),62.7,2791.5,2.09
0023-hghwl,1.0,male,1,0,0,1,0,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,25.1,25.1,0.84
0023-uyupn,0.0,female,1,1,0,50,1,yes,no,no,no,no,no,no,no,one year,0,electronic check,25.2,1306.3,0.84
0023-xuopt,1.0,female,0,1,0,13,1,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,0,electronic check,94.1,1215.6,3.14
0027-kwykw,0.0,female,0,1,1,23,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,83.75,1849.95,2.79
0030-fnxpp,0.0,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.85,57.2,0.66
0031-pvlzi,1.0,female,0,1,1,4,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.35,76.35,0.68
0032-pgels,1.0,female,0,1,1,1,0,no,dsl,yes,no,no,no,no,no,month-to-month,0,bank transfer (automatic),30.5,30.5,1.02
0036-ihmot,0.0,female,0,1,1,55,1,no,fiber optic,no,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),103.7,5656.75,3.46
0040-halcw,0.0,male,0,1,1,54,1,no,no,no,no,no,no,no,no,two year,0,credit card (automatic),20.4,1090.6,0.68
0042-jvwoj,0.0,male,0,0,0,26,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),19.6,471.85,0.65
0042-rlhyp,0.0,female,0,1,1,69,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),19.7,1396.9,0.66
0048-lumls,0.0,male,0,1,1,37,1,no,fiber optic,no,no,no,no,yes,yes,one year,0,credit card (automatic),91.2,3247.55,3.04
0048-pihnl,0.0,female,0,1,0,49,1,no,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),20.45,900.9,0.68
0052-dckon,0.0,male,0,1,0,66,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,0,bank transfer (automatic),115.8,7942.15,3.86
0052-ynyot,0.0,female,0,0,0,67,1,no,no,no,no,no,no,no,no,one year,0,electronic check,20.55,1343.4,0.68
0056-epfbg,0.0,male,0,1,1,20,0,no,dsl,yes,no,yes,yes,no,no,two year,1,credit card (automatic),39.4,825.4,1.31
0057-qbuqh,0.0,female,0,0,1,43,1,yes,no,no,no,no,no,no,no,two year,1,electronic check,25.1,1070.15,0.84
0058-evzwm,0.0,female,0,1,0,55,1,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,1,bank transfer (automatic),89.8,4959.6,2.99
0060-fualy,0.0,female,0,1,0,59,1,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,1,electronic check,94.75,5597.65,3.16
0064-sudog,0.0,female,0,1,1,12,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.3,224.5,0.68
0064-yijgf,0.0,male,0,1,1,27,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),75.75,1929.0,2.52
0067-dkwbl,1.0,male,1,0,0,2,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,electronic check,49.25,91.1,1.64
0068-figtf,0.0,female,0,0,0,27,1,no,dsl,no,yes,yes,yes,yes,yes,one year,0,mailed check,78.2,2078.95,2.61
0071-ndafp,0.0,male,0,1,1,25,1,yes,no,no,no,no,no,no,no,two year,0,credit card (automatic),25.5,630.6,0.85
0074-hdkdg,0.0,male,0,1,1,25,1,no,dsl,yes,yes,yes,no,no,no,one year,1,bank transfer (automatic),61.6,1611.0,2.05
0076-lveps,0.0,male,0,0,1,29,0,no,dsl,yes,yes,yes,yes,no,no,month-to-month,1,mailed check,45.0,1242.45,1.5
0078-xzmht,0.0,male,0,1,0,72,1,yes,dsl,no,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),85.15,6316.2,2.84
0080-emyvy,0.0,female,0,0,0,14,1,no,dsl,no,yes,no,no,no,no,one year,0,credit card (automatic),51.45,727.85,1.72
0080-orozo,0.0,female,0,0,0,35,1,no,fiber optic,no,no,yes,yes,yes,yes,one year,1,electronic check,99.25,3532.0,3.31
0082-ldzue,0.0,male,0,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,1,mailed check,44.3,44.3,1.48
